,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
27,1624935600,2021-06-28 21:00:00,23.2,96.99,100,8348,23.2,0.0,0.0,96.89,0.46,1.264,2.297,29.6,26.6,23.9,0.41,2.433,0.236,0.22,0.326,132.8,0.4106029029276388
28,1624939200,2021-06-28 22:00:00,22.3,97.06,100,8336,22.1,0.0,0.0,96.96,0.468,1.264,2.296,28.8,26.6,23.9,0.23,2.467,0.236,0.22,0.326,132.8,0.2256645530366383
29,1624942800,2021-06-28 23:00:00,21.9,97.11,100,8326,21.4,0.0,0.0,97.01,0.467,1.271,2.295,28.1,26.6,24.0,0.15,2.477,0.235,0.22,0.326,132.7,0.1508588442730207
30,1624946400,2021-06-29 00:00:00,21.8,97.14,100,8312,21.4,0.0,0.0,97.04,0.468,1.265,2.295,27.5,26.5,24.0,0.12,2.49,0.235,0.22,0.326,132.7,0.1218719061836695
31,1624950000,2021-06-29 01:00:00,21.8,97.1,100,8308,21.4,0.0,0.0,97.0,0.466,1.264,2.299,27.0,26.4,24.1,0.11,2.504,0.235,0.22,0.326,132.7,0.1078719061836697
32,1624953600,2021-06-29 02:00:00,21.5,97.09,100,8300,21.1,0.0,0.0,96.98,0.466,1.259,2.304,26.6,26.2,24.1,0.05,2.509,0.235,0.22,0.326,132.7,0.0554197206554634
33,1624957200,2021-06-29 03:00:00,21.5,97.04,100,8295,21.0,0.0,0.0,96.94,0.471,1.267,2.303,26.2,26.0,24.1,0.02,2.541,0.234,0.22,0.326,132.60000000000002,0.0234197206554633
34,1624960800,2021-06-29 04:00:00,21.2,97.06,100,8289,20.8,0.0,0.0,96.96,0.473,1.271,2.298,25.8,25.8,24.1,0.01,2.516,0.234,0.22,0.326,132.60000000000002,0.001722492090296
35,1624964400,2021-06-29 05:00:00,21.0,97.11,100,8284,20.7,0.0,0.0,97.0,0.472,1.269,2.296,25.5,25.6,24.2,0.03,2.46,0.234,0.22,0.326,132.60000000000002,0.0270053972720654
36,1624968000,2021-06-29 06:00:00,21.0,97.15,100,8281,20.6,0.0,0.0,97.04,0.471,1.273,2.291,25.2,25.5,24.2,0.05,2.44,0.234,0.219,0.326,132.4,0.0470053972720654
37,1624971600,2021-06-29 07:00:00,21.2,97.17,100,8273,20.8,0.0,0.0,97.05,0.47,1.274,2.297,25.0,25.3,24.1,0.05,2.461,0.234,0.219,0.326,132.4,0.0567224920902962
38,1624975200,2021-06-29 08:00:00,21.6,97.21,100,8270,21.3,0.0,0.0,97.1,0.47,1.267,2.292,24.8,25.2,24.1,0.1,2.491,0.234,0.219,0.326,132.4,0.0891527260359441
39,1624978800,2021-06-29 09:00:00,22.4,97.24,100,8273,22.4,0.0,0.0,97.13,0.471,1.265,2.292,24.7,25.0,24.1,0.19,2.52,0.233,0.219,0.326,132.3,0.1890824052161175
40,1624982400,2021-06-29 10:00:00,22.5,97.26,100,8274,22.9,12.0,2.4,97.15,0.471,1.268,2.287,24.7,24.9,24.1,0.18,2.5460000000000003,0.233,0.219,0.326,132.3,0.1795876066054589
41,1624986000,2021-06-29 11:00:00,23.9,97.26,100,8291,23.8,0.0,0.0,97.16,0.47,1.272,2.292,24.8,24.8,24.1,0.33,2.632,0.233,0.219,0.326,132.3,0.3340542018616079
42,1624989600,2021-06-29 12:00:00,25.0,97.27,100,8317,25.7,0.0,0.0,97.17,0.469,1.269,2.293,25.2,24.7,24.0,0.54,2.633,0.233,0.219,0.326,132.3,0.5347777175068473
43,1624993200,2021-06-29 13:00:00,25.9,97.24,100,8346,27.1,0.0,0.0,97.14,0.469,1.269,2.293,25.8,24.7,24.0,0.73,2.61,0.233,0.219,0.326,132.3,0.7316202151479172
44,1624996800,2021-06-29 14:00:00,26.7,97.21,100,8372,28.7,0.0,0.0,97.09,0.467,1.269,2.289,26.6,24.7,24.0,0.98,2.52,0.233,0.219,0.326,132.3,0.9830684848343494
45,1625000400,2021-06-29 15:00:00,26.9,97.19,100,8378,28.9,0.0,0.0,97.08,0.465,1.259,2.29,27.4,24.8,23.9,1.03,2.513,0.233,0.22,0.326,132.5,1.0314766708090346
46,1625004000,2021-06-29 16:00:00,26.3,97.16,100,8371,28.1,0.0,0.0,97.05,0.47,1.261,2.291,28.0,25.0,23.9,0.93,2.496,0.233,0.22,0.326,132.5,0.9255146678582188
47,1625007600,2021-06-29 17:00:00,26.8,97.14,100,8370,28.2,0.0,0.0,97.03,0.472,1.262,2.291,28.2,25.2,23.9,0.95,2.567,0.233,0.22,0.326,132.5,0.9567195928099276
48,1625011200,2021-06-29 18:00:00,26.0,97.12,100,8355,27.5,0.0,0.0,97.01,0.473,1.263,2.292,28.4,25.3,23.9,0.77,2.592,0.232,0.22,0.326,132.4,0.7694398286025637
49,1625014800,2021-06-29 19:00:00,25.2,97.11,100,8342,25.9,0.0,0.0,97.02,0.473,1.265,2.292,28.3,25.5,23.9,0.6900000000000001,2.506,0.232,0.22,0.326,132.4,0.6997122429156888
50,1625018400,2021-06-29 20:00:00,24.5,97.14,100,8327,24.7,0.0,0.0,97.04,0.474,1.264,2.292,28.0,25.6,23.9,0.55,2.527,0.231,0.22,0.326,132.3,0.5476490508815899
51,1625022000,2021-06-29 21:00:00,23.0,97.2,100,8314,23.0,0.0,0.0,97.09,0.478,1.264,2.292,27.5,25.7,23.9,0.31,2.497,0.231,0.22,0.326,132.3,0.312437622397069
52,1625025600,2021-06-29 22:00:00,22.8,97.23,100,8307,22.4,0.0,0.0,97.13,0.482,1.261,2.292,27.0,25.7,23.9,0.32,2.446,0.231,0.22,0.326,132.3,0.3296312335019813
53,1625029200,2021-06-29 23:00:00,22.4,97.23,100,8298,22.0,0.0,0.0,97.13,0.482,1.265,2.292,26.5,25.7,23.9,0.21,2.491,0.23,0.22,0.326,132.2,0.2180824052161174
54,1625032800,2021-06-30 00:00:00,21.8,97.23,100,8286,21.5,0.0,0.0,97.12,0.478,1.265,2.286,26.1,25.6,24.0,0.09,2.521,0.23,0.22,0.326,132.2,0.0908719061836698
55,1625036400,2021-06-30 01:00:00,22.3,97.19,100,8282,21.8,0.0,0.0,97.08,0.484,1.269,2.286,25.7,25.5,24.0,0.11,2.578,0.23,0.22,0.326,132.2,0.1146645530366385
