,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,27.0,96.61,100,8400,28.9,0,0.0,96.53,0.387,,2.401,29.0,25.6,23.4,1.53,2.044,0.236,0.148,0.373,127.79999999999998,1.5213401758108458
1,1624842000,2021-06-27 19:00:00,25.6,96.65,100,8380,26.3,0,0.0,96.58,0.389,,2.401,28.7,26.0,23.4,1.19,2.097,0.236,0.148,0.373,127.79999999999998,1.1857711697769289
2,1624845600,2021-06-27 20:00:00,23.8,96.7,100,8360,24.1,0,0.0,96.62,0.395,,2.402,28.1,26.1,23.5,0.76,2.189,0.236,0.149,0.373,128.0,0.759284305022085
3,1624849200,2021-06-27 21:00:00,22.7,96.73,100,8348,22.7,0,0.0,96.66,0.396,,2.401,27.4,26.1,23.5,0.63,2.119,0.236,0.148,0.373,127.79999999999998,0.6398616266004504
4,1624852800,2021-06-27 22:00:00,22.0,96.82,100,8336,21.9,0,0.0,96.75,0.396,,2.401,26.8,26.0,23.6,0.5,2.15,0.236,0.148,0.373,127.79999999999998,0.4939311922105758
5,1624856400,2021-06-27 23:00:00,21.4,96.86,100,8328,21.3,0,0.0,96.78,0.397,,2.4,26.2,25.9,23.6,0.38,2.176,0.236,0.148,0.373,127.79999999999998,0.3727705984720568
6,1624860000,2021-06-28 00:00:00,21.0,96.85,100,8312,20.8,0,0.0,96.78,0.396,,2.4,25.7,25.7,23.7,0.39,2.095,0.236,0.148,0.373,127.79999999999998,0.3920053972720652
7,1624863600,2021-06-28 01:00:00,20.9,96.83,100,8305,20.6,0,0.0,96.77,0.399,,2.399,25.2,25.4,23.7,0.35,2.123,0.236,0.148,0.373,127.79999999999998,0.3487700446226425
8,1624867200,2021-06-28 02:00:00,20.2,96.83,100,8302,19.9,0,0.0,96.76,0.399,,2.405,24.8,25.2,23.7,0.18,2.191,0.236,0.148,0.373,127.79999999999998,0.1763876975032685
9,1624870800,2021-06-28 03:00:00,20.1,96.8,100,8294,19.6,0,0.0,96.74,0.399,,2.405,24.4,25.0,23.7,0.14,2.213,0.236,0.148,0.373,127.79999999999998,0.13979512899011
10,1624874400,2021-06-28 04:00:00,19.6,96.82,100,8288,19.2,0,0.0,96.75,0.399,,2.405,24.1,24.8,23.7,0.08,2.201,0.236,0.148,0.373,127.79999999999998,0.080005772982453
11,1624878000,2021-06-28 05:00:00,19.0,96.87,100,8282,18.7,0,0.0,96.8,0.399,,2.405,23.8,24.6,23.7,0.02,2.174,0.236,0.148,0.373,127.79999999999998,0.0233933238855259
12,1624881600,2021-06-28 06:00:00,19.2,96.94,100,8279,18.7,0,0.0,96.87,0.398,,2.405,23.5,24.4,23.7,,2.222,0.236,0.148,0.373,127.79999999999998,0.0029611183378328
13,1624885200,2021-06-28 07:00:00,20.6,96.97,100,8281,20.0,0,0.0,96.9,0.399,,2.4,23.3,24.2,23.7,0.1,2.325,0.236,0.148,0.373,127.79999999999998,0.1015523121060208
14,1624888800,2021-06-28 08:00:00,21.7,96.99,100,8284,21.6,0,0.0,96.91,0.398,,2.406,23.2,24.0,23.7,0.25,2.346,0.235,0.148,0.373,127.7,0.2499699942202964
15,1624892400,2021-06-28 09:00:00,23.5,97.04,100,8298,24.6,0,0.0,96.95,0.399,,2.407,23.3,23.9,23.7,0.58,2.315,0.235,0.148,0.373,127.7,0.5805307729089892
16,1624896000,2021-06-28 10:00:00,24.4,97.01,100,8314,25.7,0,0.0,96.93,0.4,,2.403,23.7,23.8,23.6,0.79,2.26,0.234,0.148,0.373,127.6,0.7963126530167615
17,1624899600,2021-06-28 11:00:00,25.0,96.98,100,8330,26.3,0,0.0,96.89,0.402,,2.404,24.3,23.9,23.6,0.87,2.286,0.232,0.148,0.372,127.2,0.8817777175068473
18,1624903200,2021-06-28 12:00:00,26.3,96.97,100,8369,27.8,0,0.0,96.89,0.404,,2.401,24.9,24.0,23.5,1.12,2.307,0.231,0.148,0.372,127.1,1.1145146678582187
19,1624906800,2021-06-28 13:00:00,27.9,97.01,100,8402,29.5,0,0.0,96.93,0.404,,2.391,25.6,24.1,23.5,1.5,2.26,0.228,0.148,0.372,126.8,1.4979771108740128
20,1624910400,2021-06-28 14:00:00,27.9,97.0,100,8413,29.8,0,0.0,96.92,0.404,,2.398,26.6,24.4,23.5,1.57,2.192,0.226,0.148,0.372,126.6,1.5659771108740124
21,1624914000,2021-06-28 15:00:00,28.2,96.94,100,8427,30.0,0,0.0,96.87,0.408,,2.4,27.4,24.7,23.5,1.65,2.174,0.224,0.148,0.372,126.4,1.650172018054051
22,1624917600,2021-06-28 16:00:00,29.1,96.9,100,8446,30.9,0,0.0,96.81,0.409,,2.401,28.0,25.1,23.4,1.74,2.282,0.223,0.148,0.372,126.3,1.7468844232591545
23,1624921200,2021-06-28 17:00:00,28.1,96.89,100,8421,30.4,0,0.0,96.81,0.41,,2.398,28.6,25.5,23.4,1.44,2.353,0.221,0.148,0.371,125.9,1.448995174422515
24,1624924800,2021-06-28 18:00:00,27.4,96.89,100,8407,28.5,0,0.0,96.81,0.411,,2.398,28.8,25.8,23.5,1.24,2.404,0.22,0.148,0.371,125.8,1.2458676599831984
25,1624928400,2021-06-28 19:00:00,26.3,96.9,100,8380,27.3,0,0.0,96.83,0.412,,2.399,28.5,26.1,23.5,1.03,2.388,0.22,0.148,0.371,125.8,1.0335146678582188
26,1624932000,2021-06-28 20:00:00,24.4,96.96,100,8360,25.0,0,0.0,96.88,0.413,,2.399,28.1,26.2,23.5,0.68,2.383,0.22,0.148,0.371,125.8,0.6733126530167612
27,1624935600,2021-06-28 21:00:00,23.1,97.0,100,8346,23.2,0,0.0,96.92,0.414,,2.404,27.5,26.2,23.6,0.38,2.445,0.22,0.148,0.371,125.8,0.3814752011366078
28,1624939200,2021-06-28 22:00:00,22.2,97.06,100,8334,22.1,0,0.0,96.98,0.415,,2.409,27.0,26.1,23.6,0.2,2.473,0.22,0.148,0.371,125.8,0.2033336594163715
29,1624942800,2021-06-28 23:00:00,22.0,97.1,100,8323,21.6,0,0.0,97.03,0.417,,2.409,26.4,26.0,23.7,0.15,2.496,0.22,0.148,0.371,125.8,0.1479311922105757
30,1624946400,2021-06-29 00:00:00,21.8,97.13,100,8306,21.6,0,0.0,97.06,0.417,,2.409,25.9,25.8,23.7,0.1,2.51,0.22,0.148,0.371,125.8,0.1018719061836699
31,1624950000,2021-06-29 01:00:00,21.8,97.09,100,8300,21.5,0,0.0,97.02,0.417,,2.408,25.6,25.6,23.7,0.09,2.525,0.22,0.148,0.371,125.8,0.0868719061836698
32,1624953600,2021-06-29 02:00:00,21.6,97.08,100,8295,21.3,0,0.0,97.01,0.417,,2.408,25.2,25.4,23.8,0.05,2.528,0.221,0.148,0.371,125.9,0.0521527260359442
33,1624957200,2021-06-29 03:00:00,21.5,97.04,100,8289,21.2,0,0.0,96.96,0.417,,2.407,25.0,25.2,23.8,0.01,2.556,0.221,0.148,0.371,125.9,0.0084197206554632
34,1624960800,2021-06-29 04:00:00,21.3,97.06,100,8281,21.0,0,0.0,96.98,0.419,,2.407,24.7,25.1,23.8,0.01,2.52,0.221,0.148,0.371,125.9,0.0132049812438213
35,1624964400,2021-06-29 05:00:00,21.0,97.1,100,8280,20.8,0,0.0,97.02,0.419,,2.408,24.5,24.9,23.8,0.02,2.468,0.221,0.148,0.371,125.9,0.0190053972720654
36,1624968000,2021-06-29 06:00:00,21.0,97.14,100,8272,20.8,0,0.0,97.06,0.418,,2.409,24.2,24.7,23.8,0.03,2.457,0.221,0.148,0.371,125.9,0.0300053972720655
37,1624971600,2021-06-29 07:00:00,21.2,97.15,100,8267,20.9,0,0.0,97.07,0.418,,2.409,24.0,24.6,23.8,0.04,2.471,0.221,0.148,0.371,125.9,0.046722492090296
38,1624975200,2021-06-29 08:00:00,21.7,97.21,100,8265,21.4,0,0.0,97.12,0.419,,2.41,23.9,24.5,23.7,0.09,2.51,0.221,0.148,0.371,125.9,0.0859699942202967
39,1624978800,2021-06-29 09:00:00,22.4,97.24,100,8263,22.5,12,0.0,97.16,0.419,,2.411,23.8,24.3,23.7,0.17,2.545,0.221,0.148,0.371,125.9,0.1640824052161176
40,1624982400,2021-06-29 10:00:00,22.3,97.25,100,8266,22.6,12,1.8,97.17,0.419,,2.405,23.9,24.2,23.7,0.13,2.565,0.221,0.148,0.371,125.9,0.1276645530366384
41,1624986000,2021-06-29 11:00:00,23.7,97.28,100,8286,23.6,0,0.0,97.18,0.419,,2.406,24.0,24.2,23.7,0.24,2.69,0.221,0.148,0.371,125.9,0.2406073746865935
42,1624989600,2021-06-29 12:00:00,25.0,97.29,100,8306,25.2,0,0.0,97.19,0.419,,2.407,24.3,24.1,23.6,0.54,2.633,0.22,0.148,0.371,125.8,0.5347777175068473
43,1624993200,2021-06-29 13:00:00,26.4,97.25,100,8344,27.3,0,0.0,97.16,0.42,,2.403,24.7,24.2,23.6,0.8,2.633,0.219,0.148,0.37,125.5,0.8087464345283828
44,1624996800,2021-06-29 14:00:00,27.2,97.2,100,8364,28.9,0,0.0,97.12,0.419,,2.398,25.4,24.3,23.6,1.06,2.5540000000000003,0.218,0.148,0.37,125.4,1.053388302525513
45,1625000400,2021-06-29 15:00:00,27.1,97.18,100,8377,28.9,0,0.0,97.1,0.42,,2.405,26.1,24.5,23.5,1.09,2.484,0.217,0.148,0.37,125.3,1.102310566351056
46,1625004000,2021-06-29 16:00:00,26.7,97.15,100,8368,28.3,0,0.0,97.08,0.423,,2.407,26.5,24.7,23.5,1.02,2.484,0.216,0.148,0.37,125.2,1.0190684848343494
