,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Gust Speed,Lightning Activity,Lightning Distance,Logger Temperature,Max Precip Rate,Precipitation,RH Sensor Temp,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,Solar Radiation,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Wind Direction,Wind Speed,X-axis Level,Y-axis Level,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,25.8,96.64,100,8380,4.33,0,0,27.6,0.0,0.0,27.4,96.47,0.579,1.855,1.994,25.4,23.0,21.8,189.6,1.32,2.001,0.249,0.245,0.4,118,2.15,0.2,-0.4,153.9,1.3209025283483369
1,1624842000,2021-06-27 19:00:00,25.0,96.68,100,8358,4.13,0,0,25.8,0.0,0.0,25.8,96.52,0.577,1.854,1.995,25.3,23.2,21.8,114.4,1.14,2.03,0.248,0.245,0.399,129,2.16,0.2,-0.4,153.60000000000002,1.1377777175068475
2,1624845600,2021-06-27 20:00:00,23.6,96.73,100,8346,3.63,0,0,23.9,0.0,0.0,24.0,96.56,0.577,1.852,2.0,25.0,23.3,21.8,20.3,0.8300000000000001,2.093,0.247,0.245,0.399,126,1.63,0.2,-0.4,153.5,0.8200230003400173
3,1624849200,2021-06-27 21:00:00,22.7,96.75,100,8333,4.08,0,0,22.6,0.0,0.0,22.8,96.59,0.58,1.856,2.0,24.7,23.4,21.8,0.0,0.71,2.05,0.247,0.245,0.399,146,2.49,0.1,-0.4,153.5,0.7088616266004508
4,1624852800,2021-06-27 22:00:00,21.9,96.84,100,8323,4.05,0,0,21.7,0.0,0.0,22.0,96.68,0.582,1.856,2.0,24.4,23.4,21.8,0.0,0.54,2.086,0.246,0.245,0.399,155,2.38,0.2,-0.5,153.4,0.5418588442730208
5,1624856400,2021-06-27 23:00:00,21.1,96.86,100,8317,4.42,0,0,20.9,0.0,0.0,21.2,96.71,0.582,1.856,1.999,24.0,23.4,21.9,0.0,0.36,2.136,0.246,0.245,0.399,165,2.28,0.1,-0.4,153.4,0.3663227554890151
6,1624860000,2021-06-28 00:00:00,20.4,96.87,100,8297,3.86,0,0,20.0,0.0,0.0,20.3,96.72,0.584,1.857,2.003,23.8,23.3,21.9,0.0,0.32,2.068,0.246,0.245,0.4,164,2.05,0.1,-0.4,153.6,0.3288104104453793
7,1624863600,2021-06-28 01:00:00,20.3,96.85,100,8294,4.15,0,0,19.8,0.0,0.0,20.3,96.71,0.579,1.857,2.003,23.5,23.3,21.9,0.0,0.32,2.068,0.245,0.245,0.4,165,1.71,0.1,-0.4,153.5,0.3140593372779197
8,1624867200,2021-06-28 02:00:00,19.7,96.85,100,8288,1.56,0,0,19.1,0.0,0.0,19.6,96.7,0.5760000000000001,1.862,2.002,23.2,23.2,21.9,0.0,0.2,2.099,0.245,0.245,0.4,176,0.58,0.2,-0.4,153.5,0.1962083710657745
9,1624870800,2021-06-28 03:00:00,19.3,96.82,100,8284,1.7000000000000002,0,0,18.6,0.0,0.0,19.1,96.68,0.58,1.855,2.002,23.0,23.1,21.9,0.0,0.12,2.112,0.245,0.245,0.4,182,0.8300000000000001,0.1,-0.4,153.5,0.1268581246753619
10,1624874400,2021-06-28 04:00:00,19.3,96.83,100,8278,1.13,0,0,18.5,0.0,0.0,19.0,96.69,0.58,1.851,2.002,22.8,23.0,21.9,0.0,0.11,2.131,0.245,0.245,0.4,236,0.54,0.2,-0.4,153.5,0.1078581246753622
11,1624878000,2021-06-28 05:00:00,18.9,96.88,100,8273,1.11,0,0,18.3,0.0,0.0,18.7,96.74,0.58,1.857,2.002,22.6,22.9,21.9,0.0,0.07,2.112,0.244,0.245,0.4,189,0.37,0.2,-0.4,153.4,0.0717218414652265
12,1624881600,2021-06-28 06:00:00,18.8,96.95,100,8268,0.9,0,0,18.3,0.0,0.0,18.7,96.81,0.58,1.866,2.001,22.4,22.8,21.9,20.3,0.06,2.114,0.244,0.245,0.4,143,0.45,0.2,-0.4,153.4,0.0561248415136295
13,1624885200,2021-06-28 07:00:00,19.8,96.97,100,8271,1.28,0,0,19.9,0.0,0.0,20.5,96.83,0.582,1.867,2.001,22.3,22.7,21.9,124.8,0.02,2.296,0.244,0.245,0.4,234,0.4,0.1,-0.4,153.4,0.0134882494907833
14,1624888800,2021-06-28 08:00:00,21.0,96.98,100,8279,2.02,0,0,21.4,0.0,0.0,22.1,96.85,0.579,1.855,2.0,22.2,22.6,21.9,183.3,0.14,2.342,0.244,0.245,0.4,331,0.65,0.1,-0.4,153.4,0.1450053972720653
15,1624892400,2021-06-28 09:00:00,22.7,97.01,100,8306,3.31,0,0,24.5,0.0,0.0,25.4,96.88,0.58,1.851,2.006,22.3,22.5,21.9,427.4,0.4,2.357,0.244,0.245,0.4,346,1.12,0.1,-0.4,153.4,0.4018616266004504
16,1624896000,2021-06-28 10:00:00,23.6,97.0,100,8326,3.34,0,0,25.9,0.0,0.0,26.5,96.86,0.5760000000000001,1.86,2.003,22.6,22.5,21.9,464.2,0.67,2.247,0.243,0.245,0.399,30,1.67,0.1,-0.4,153.10000000000002,0.6660230003400174
