,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,26.2,96.55,100,8370,27.8,0.0,0.0,96.49,0.474,1.044,1.56,27.7,24.7,22.8,1.31,2.077,0.272,0.218,0.274,125.60000000000002,1.3243866095362415
1,1624842000,2021-06-27 19:00:00,25.0,96.59,100,8352,25.8,0.0,0.0,96.54,0.48,1.037,1.56,27.5,24.9,22.8,1.08,2.088,0.271,0.218,0.274,125.5,1.0797777175068473
2,1624845600,2021-06-27 20:00:00,23.5,96.6,100,8342,23.9,0.0,0.0,96.58,0.481,1.043,1.5590000000000002,27.1,25.1,22.9,0.75,2.145,0.27,0.218,0.274,125.4,0.7505307729089892
3,1624849200,2021-06-27 21:00:00,22.6,96.64,100,8330,22.5,36.0,0.0,96.62,0.483,1.046,1.556,26.6,25.1,22.9,0.66,2.084,0.27,0.218,0.274,125.4,0.6581805492514405
4,1624852800,2021-06-27 22:00:00,21.9,96.73,100,8322,21.7,0.0,0.0,96.7,0.484,1.048,1.5590000000000002,26.2,25.1,23.0,0.51,2.115,0.27,0.218,0.274,125.4,0.5128588442730204
5,1624856400,2021-06-27 23:00:00,21.3,96.77,100,8314,21.0,0.0,0.0,96.74,0.486,1.048,1.562,25.7,25.1,23.0,0.38,2.146,0.27,0.218,0.274,125.4,0.3872049812438214
6,1624860000,2021-06-28 00:00:00,20.8,96.78,100,8300,20.5,0.0,0.0,96.74,0.484,1.047,1.566,25.3,25.0,23.0,0.37,2.075,0.27,0.218,0.274,125.4,0.381616326071617
7,1624863600,2021-06-28 01:00:00,20.7,96.77,100,8295,20.2,0.0,0.0,96.73,0.485,1.043,1.565,24.9,24.9,23.0,0.37,2.068,0.27,0.218,0.274,125.4,0.3735438714941015
8,1624867200,2021-06-28 02:00:00,20.2,96.77,100,8289,19.7,0.0,0.0,96.72,0.487,1.041,1.568,24.5,24.7,23.1,0.24,2.121,0.27,0.218,0.274,125.4,0.2463876975032684
9,1624870800,2021-06-28 03:00:00,19.8,96.76,100,8284,19.2,0.0,0.0,96.7,0.488,1.044,1.568,24.2,24.6,23.1,0.17,2.132,0.27,0.218,0.274,125.4,0.177488249490783
