,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,26.6,96.65,100,8394,28.0,0.0,0.0,96.6,0.315,0.85,2.113,28.1,24.3,22.6,1.4,2.07,0.215,0.209,0.323,127.9,1.4125228914560002
1,1624842000,2021-06-27 19:00:00,25.3,96.69,100,8376,25.7,0.0,0.0,96.65,0.321,0.847,2.113,27.6,24.6,22.6,1.11,2.11,0.214,0.209,0.323,127.8,1.1148275907111105
2,1624845600,2021-06-27 20:00:00,23.9,96.73,100,8363,23.9,0.0,0.0,96.69,0.322,0.848,2.118,27.0,24.7,22.6,0.81,2.157,0.214,0.209,0.323,127.8,0.809054201861608
3,1624849200,2021-06-27 21:00:00,22.7,96.76,100,8350,22.4,0.0,0.0,96.72,0.324,0.848,2.118,26.4,24.8,22.6,0.64,2.116,0.213,0.209,0.323,127.7,0.6428616266004505
4,1624852800,2021-06-27 22:00:00,22.1,96.86,100,8339,21.7,0.0,0.0,96.81,0.325,0.851,2.123,25.8,24.8,22.6,0.52,2.146,0.213,0.209,0.323,127.7,0.5140893350973013
5,1624856400,2021-06-27 23:00:00,21.4,96.89,100,8333,20.9,0.0,0.0,96.84,0.326,0.85,2.122,25.3,24.8,22.7,0.36,2.195,0.213,0.209,0.323,127.7,0.3537705984720571
6,1624860000,2021-06-28 00:00:00,20.7,96.89,100,8315,20.2,0.0,0.0,96.85,0.327,0.854,2.122,24.8,24.7,22.7,0.3,2.141,0.213,0.209,0.323,127.7,0.3005438714941015
7,1624863600,2021-06-28 01:00:00,20.6,96.88,100,8308,19.9,0.0,0.0,96.84,0.327,0.852,2.126,24.4,24.6,22.7,0.31,2.115,0.213,0.209,0.323,127.7,0.3115523121060208
8,1624867200,2021-06-28 02:00:00,20.1,96.87,100,8304,19.2,0.0,0.0,96.83,0.327,0.853,2.125,24.0,24.5,22.8,0.19,2.161,0.213,0.209,0.323,127.7,0.1917951289901101
9,1624870800,2021-06-28 03:00:00,19.7,96.84,100,8301,18.7,0.0,0.0,96.81,0.326,0.854,2.125,23.7,24.4,22.8,0.11,2.176,0.213,0.209,0.323,127.7,0.1192083710657745
10,1624874400,2021-06-28 04:00:00,19.4,96.86,100,8295,18.5,0.0,0.0,96.82,0.325,0.855,2.125,23.4,24.2,22.8,0.08,2.17,0.213,0.209,0.323,127.7,0.082831002099363
11,1624878000,2021-06-28 05:00:00,19.2,96.91,100,8290,18.3,0.0,0.0,96.87,0.327,0.855,2.125,23.1,24.1,22.8,0.05,2.172,0.213,0.209,0.323,127.7,0.0529611183378326
12,1624881600,2021-06-28 06:00:00,19.2,96.98,100,8287,18.4,0.0,0.0,96.94,0.326,0.858,2.125,22.8,23.9,22.8,0.03,2.197,0.213,0.209,0.323,127.7,0.0279611183378327
13,1624885200,2021-06-28 07:00:00,20.5,97.01,100,8289,19.9,0.0,0.0,96.97,0.325,0.859,2.119,22.7,23.8,22.8,0.08,2.334,0.213,0.209,0.323,127.7,0.0776412804606883
14,1624888800,2021-06-28 08:00:00,21.5,97.04,100,8296,21.3,0.0,0.0,96.98,0.326,0.859,2.119,22.8,23.6,22.8,0.19,2.379,0.212,0.209,0.323,127.6,0.1854197206554633
15,1624892400,2021-06-28 09:00:00,23.5,97.08,100,8319,24.2,0.0,0.0,97.02,0.325,0.858,2.114,23.1,23.5,22.8,0.54,2.35,0.212,0.209,0.323,127.6,0.5455307729089891
16,1624896000,2021-06-28 10:00:00,24.2,97.05,100,8347,25.3,0.0,0.0,96.99,0.325,0.856,2.115,23.8,23.4,22.8,0.76,2.264,0.211,0.209,0.323,127.5,0.7559258182559936
17,1624899600,2021-06-28 11:00:00,25.0,97.01,100,8365,25.9,0.0,0.0,96.96,0.325,0.856,2.116,24.4,23.4,22.7,0.88,2.293,0.21,0.209,0.323,127.4,0.8747777175068472
18,1624903200,2021-06-28 12:00:00,26.4,97.0,100,8408,27.1,0.0,0.0,96.96,0.326,0.854,2.117,24.9,23.4,22.7,1.13,2.303,0.209,0.209,0.323,127.3,1.1387464345283829
