,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,26.4,96.42,100,8380,27.3,0.0,0.0,96.36,0.134,,0.316,29.6,25.5,23.3,1.41,2.042,0.212,0.114,0.186,81.2,1.399746434528383
1,1624842000,2021-06-27 19:00:00,25.2,96.47,100,8363,25.4,0.0,0.0,96.41,0.134,,0.316,29.0,25.8,23.4,1.12,2.08,0.212,0.114,0.186,81.2,1.1257122429156885
2,1624845600,2021-06-27 20:00:00,23.8,96.51,100,8346,23.8,0.0,0.0,96.45,0.135,,0.316,28.3,26.0,23.4,0.81,2.148,0.211,0.114,0.186,81.1,0.8002843050220849
3,1624849200,2021-06-27 21:00:00,22.5,96.54,100,8336,22.3,0.0,0.0,96.48,0.135,,0.316,27.6,26.0,23.5,0.56,2.157,0.211,0.114,0.186,81.1,0.5685876066054592
4,1624852800,2021-06-27 22:00:00,21.9,96.62,100,8328,21.5,0.0,0.0,96.57,0.136,,0.316,26.8,26.0,23.6,0.45,2.171,0.211,0.114,0.186,81.1,0.4568588442730208
5,1624856400,2021-06-27 23:00:00,21.3,96.65,100,8319,20.8,0.0,0.0,96.6,0.137,,0.315,26.1,25.8,23.7,0.3,2.224,0.21,0.114,0.186,81.0,0.3092049812438211
6,1624860000,2021-06-28 00:00:00,20.6,96.66,100,8303,20.2,0.0,0.0,96.61,0.138,,0.315,25.6,25.7,23.7,0.26,2.166,0.21,0.114,0.186,81.0,0.2605523121060211
7,1624863600,2021-06-28 01:00:00,20.5,96.64,100,8296,19.9,0.0,0.0,96.59,0.14,,0.315,25.0,25.5,23.8,0.27,2.138,0.21,0.114,0.186,81.0,0.2736412804606885
8,1624867200,2021-06-28 02:00:00,20.1,96.63,100,8295,19.5,0.0,0.0,96.58,0.14,,0.314,24.6,25.3,23.8,0.17,2.181,0.21,0.114,0.186,81.0,0.17179512899011
9,1624870800,2021-06-28 03:00:00,19.8,96.6,100,8287,19.2,0.0,0.0,96.56,0.141,,0.315,24.2,25.1,23.8,0.11,2.196,0.21,0.114,0.186,81.0,0.1134882494907829
10,1624874400,2021-06-28 04:00:00,19.7,96.62,100,8284,18.9,0.0,0.0,96.57,0.144,,0.313,23.8,24.9,23.8,0.09,2.208,0.209,0.114,0.186,80.9,0.0872083710657745
11,1624878000,2021-06-28 05:00:00,19.4,96.68,100,8277,18.6,0.0,0.0,96.62,0.145,,0.311,23.5,24.7,23.8,0.04,2.211,0.209,0.113,0.186,80.7,0.041831002099363
12,1624881600,2021-06-28 06:00:00,19.8,96.75,100,8272,18.8,0.0,0.0,96.69,0.145,,0.31,23.3,24.5,23.7,0.06,2.246,0.209,0.113,0.186,80.7,0.0634882494907831
13,1624885200,2021-06-28 07:00:00,20.6,96.77,100,8274,20.2,0.0,0.0,96.72,0.146,,0.309,23.1,24.3,23.7,0.12,2.31,0.209,0.113,0.186,80.7,0.116552312106021
14,1624888800,2021-06-28 08:00:00,21.6,96.8,100,8279,21.6,0.0,0.0,96.73,0.147,,0.309,23.1,24.1,23.6,0.24,2.346,0.209,0.113,0.186,80.7,0.2341527260359441
15,1624892400,2021-06-28 09:00:00,23.4,96.84,100,8296,24.6,0.0,0.0,96.77,0.15,,0.309,23.4,24.0,23.6,0.54,2.345,0.209,0.113,0.186,80.7,0.5331302847583608
16,1624896000,2021-06-28 10:00:00,24.3,96.82,100,8314,25.7,0.0,0.0,96.74,0.151,,0.309,24.1,23.9,23.5,0.72,2.316,0.209,0.113,0.186,80.7,0.7220717152215448
