id,lat,long
1,39.1016,-96.5956
2,39.0969,-96.5899
3,39.0884,-96.5835
4,39.085,-96.5718
5,39.0825,-96.565
6,39.0867,-96.5545
7,39.0928,-96.574
8,39.0965,-96.5569
9,39.1002,-96.5624
10,39.1021,-96.579
11,39.1068,-96.5711
12,39.11,-96.5895
13,39.0777,-96.5772
14,39.0774,-96.5894
15,39.081,-96.5978
16,39.0902,-96.5953
